Event,Nan,Start_time,Start_seconds,End_time,End_seconds,Duration,Duration_seconds,Tools/Speaker
food_to_mouth,,00:00:32.701,32.701,00:00:33.770,33.77,00:00:01.069,1.069,spoon
food_to_mouth,,00:00:44.473,44.473,00:00:46.949,46.949,00:00:02.476,2.476,spoon
food_to_mouth,,00:01:16.085,76.085,00:01:18.617,78.617,00:00:02.532,2.532,spoon
food_to_mouth,,00:01:44.269,104.269,00:01:45.857,105.857,00:00:01.588,1.588,spoon
food_to_mouth,,00:01:55.717,115.717,00:01:57.984,117.984,00:00:02.267,2.267,spoon
food_to_mouth,,00:02:40.626,160.626,00:02:41.900,161.9,00:00:01.274,1.274,spoon
food_to_mouth,,00:02:58.182,178.182,00:03:00.938,180.938,00:00:02.756,2.756,spoon
food_to_mouth,,00:03:57.195,237.195,00:03:58.905,238.905,00:00:01.710,1.71,spoon
food_to_mouth,,00:04:44.470,284.47,00:04:46.013,286.013,00:00:01.543,1.543,spoon
food_to_mouth,,00:05:22.171,322.171,00:05:23.962,323.962,00:00:01.791,1.791,spoon
food_to_mouth,,00:10:18.400,618.4,00:10:20.445,620.445,00:00:02.045,2.045,spoon
food_to_mouth,,00:10:45.261,645.261,00:10:46.406,646.406,00:00:01.145,1.145,spoon
food_to_mouth,,00:12:06.088,726.088,00:12:08.764,728.764,00:00:02.676,2.676,spoon
food_to_mouth,,00:12:38.269,758.269,00:12:41.641,761.641,00:00:03.372,3.372,spoon
food_to_mouth,,00:13:32.140,812.14,00:13:33.568,813.568,00:00:01.428,1.428,spoon
food_to_mouth,,00:14:13.036,853.036,00:14:13.396,853.396,00:00:00.360,0.36,chopsticks
food_to_mouth,,00:14:26.801,866.801,00:14:27.535,867.535,00:00:00.734,0.734,chopsticks
food_to_mouth,,00:14:35.029,875.029,00:14:35.469,875.469,00:00:00.440,0.44,chopsticks
food_to_mouth,,00:15:40.693,940.693,00:15:41.133,941.133,00:00:00.440,0.44,hand
food_to_mouth,,00:16:43.635,1003.635,00:16:45.430,1005.43,00:00:01.795,1.795,spoon
food_to_mouth,,00:16:59.855,1019.855,00:17:01.013,1021.013,00:00:01.158,1.158,spoon
food_to_mouth,,00:17:25.238,1045.238,00:17:26.459,1046.459,00:00:01.221,1.221,spoon
food_to_mouth,,00:17:45.279,1065.279,00:17:46.568,1066.568,00:00:01.289,1.289,spoon
food_to_mouth,,00:18:53.632,1133.632,00:18:54.223,1134.223,00:00:00.591,0.591,spoon
food_to_mouth,,00:19:42.985,1182.985,00:19:44.144,1184.144,00:00:01.159,1.159,spoon
food_to_mouth,,00:20:05.926,1205.926,00:20:07.836,1207.836,00:00:01.910,1.91,spoon
food_to_mouth,,00:22:47.506,1367.506,00:22:49.137,1369.137,00:00:01.631,1.631,spoon
food_to_mouth,,00:24:38.474,1478.474,00:24:39.834,1479.834,00:00:01.360,1.36,spoon
food_to_mouth,,00:27:05.683,1625.683,00:27:06.992,1626.992,00:00:01.309,1.309,spoon
food_to_mouth,,00:27:33.071,1653.071,00:27:34.151,1654.151,00:00:01.080,1.08,spoon
food_to_mouth,,00:28:39.272,1719.272,00:28:40.601,1720.601,00:00:01.329,1.329,spoon
food_to_mouth,,00:30:36.040,1836.04,00:30:38.796,1838.796,00:00:02.756,2.756,spoon
food_to_mouth,,00:31:15.443,1875.443,00:31:17.261,1877.261,00:00:01.818,1.818,spoon
food_to_mouth,,00:32:21.736,1941.736,00:32:24.341,1944.341,00:00:02.605,2.605,spoon
food_to_mouth,,00:33:47.187,2027.187,00:33:48.187,2028.187,00:00:01.000,1.0,spoon
food_to_mouth,,00:34:52.089,2092.089,00:34:53.568,2093.568,00:00:01.479,1.479,spoon
food_to_mouth,,00:37:18.276,2238.276,00:37:19.457,2239.457,00:00:01.181,1.181,spoon
food_to_mouth,,00:37:27.596,2247.596,00:37:28.671,2248.671,00:00:01.075,1.075,spoon
drink_to_mouth,,00:00:15.771,15.771,00:00:16.616,16.616,00:00:00.845,0.845,cup
drink_to_mouth,,00:11:00.223,660.223,00:11:03.844,663.844,00:00:03.621,3.621,cup
drink_to_mouth,,00:13:19.404,799.404,00:13:21.582,801.582,00:00:02.178,2.178,cup
drink_to_mouth,,00:18:17.676,1097.676,00:18:20.812,1100.812,00:00:03.136,3.136,cup
drink_to_mouth,,00:24:22.198,1462.198,00:24:26.124,1466.124,00:00:03.926,3.926,cup
drink_to_mouth,,00:25:38.923,1538.923,00:25:39.951,1539.951,00:00:01.028,1.028,cup
drink_to_mouth,,00:25:47.663,1547.663,00:25:49.562,1549.562,00:00:01.899,1.899,cup
drink_to_mouth,,00:29:09.702,1749.702,00:29:12.018,1752.018,00:00:02.316,2.316,cup
drink_to_mouth,,00:29:49.287,1789.287,00:29:50.481,1790.481,00:00:01.194,1.194,cup
drink_to_mouth,,00:37:10.884,2230.884,00:37:13.407,2233.407,00:00:02.523,2.523,cup
drink_to_mouth,,00:38:42.422,2322.422,00:38:43.368,2323.368,00:00:00.946,0.946,cup
drink_to_mouth,,00:40:35.435,2435.435,00:40:38.540,2438.54,00:00:03.105,3.105,cup
mouth_open,,00:00:32.437,32.437,00:00:33.301,33.301,00:00:00.864,0.864,
mouth_open,,00:00:44.231,44.231,00:00:46.193,46.193,00:00:01.962,1.962,
mouth_open,,00:01:15.995,75.995,00:01:17.165,77.165,00:00:01.170,1.17,
mouth_open,,00:01:44.124,104.124,00:01:44.749,104.749,00:00:00.625,0.625,
mouth_open,,00:01:55.525,115.525,00:01:56.717,116.717,00:00:01.192,1.192,
mouth_open,,00:02:40.503,160.503,00:02:41.306,161.306,00:00:00.803,0.803,
mouth_open,,00:02:57.906,177.906,00:03:00.846,180.846,00:00:02.940,2.94,
mouth_open,,00:03:57.066,237.066,00:03:58.421,238.421,00:00:01.355,1.355,
mouth_open,,00:04:44.316,284.316,00:04:46.347,286.347,00:00:02.031,2.031,
mouth_open,,00:05:22.035,322.035,00:05:24.131,324.131,00:00:02.096,2.096,
