Event,Nan,Start_time,Start_seconds,End_time,End_seconds,Duration,Duration_seconds,Tools/Speaker
speech,,00:00:01.347,1.347,00:00:09.666,9.667,00:00:08.320,8.32,
speech,,00:00:11.471,11.472,00:00:15.320,15.32,00:00:03.847,3.848,
drink_to_mouth,,00:00:15.771,15.771,00:00:16.616,16.616,00:00:00.845,0.845,cup
speech,,00:00:26.271,26.272,00:00:32.009,32.009,00:00:05.737,5.737,
mouth_open,,00:00:32.437,32.437,00:00:33.301,33.301,00:00:00.864,0.864,
food_to_mouth,,00:00:32.701,32.701,00:00:33.770,33.77,00:00:01.069,1.069,spoon
speech,,00:00:38.134,38.135,00:00:39.146,39.147,00:00:01.012,1.012,
other,,00:00:40.146,40.147,00:00:43.146,43.147,00:00:03.000,3.0,
mouth_open,,00:00:44.231,44.231,00:00:46.193,46.193,00:00:01.962,1.962,
food_to_mouth,,00:00:44.473,44.473,00:00:46.949,46.949,00:00:02.476,2.476,spoon
speech,,00:00:56.679,56.68,00:00:58.823,58.823,00:00:02.142,2.143,
speech,,00:00:59.396,59.397,00:01:00.798,60.798,00:00:01.401,1.401,
speech,,00:01:01.658,61.658,00:01:06.974,66.974,00:00:05.315,5.316,
other,,00:01:07.974,67.974,00:01:10.974,70.974,00:00:03.000,3.0,
mouth_open,,00:01:15.995,75.995,00:01:17.165,77.165,00:00:01.170,1.17,
food_to_mouth,,00:01:16.085,76.085,00:01:18.617,78.617,00:00:02.532,2.532,spoon
speech,,00:01:29.283,89.283,00:01:33.754,93.755,00:00:04.472,4.472,
other,,00:01:34.754,94.755,00:01:37.754,97.755,00:00:03.000,3.0,
mouth_open,,00:01:44.124,104.124,00:01:44.749,104.749,00:00:00.625,0.625,
food_to_mouth,,00:01:44.269,104.269,00:01:45.857,105.857,00:00:01.588,1.588,spoon
mouth_open,,00:01:55.525,115.525,00:01:56.717,116.717,00:00:01.192,1.192,
food_to_mouth,,00:01:55.717,115.717,00:01:57.984,117.984,00:00:02.267,2.267,spoon
speech,,00:02:18.085,138.085,00:02:24.699,144.7,00:00:06.615,6.615,
other,,00:02:25.699,145.7,00:02:27.417,147.417,00:00:01.717,1.717,
speech,,00:02:27.417,147.417,00:02:28.632,148.632,00:00:01.215,1.215,
other,,00:02:29.632,149.632,00:02:32.632,152.632,00:00:03.000,3.0,
speech,,00:02:37.424,157.424,00:02:39.009,159.01,00:00:01.586,1.586,
mouth_open,,00:02:40.503,160.503,00:02:41.306,161.306,00:00:00.803,0.803,
food_to_mouth,,00:02:40.626,160.626,00:02:41.900,161.9,00:00:01.274,1.274,spoon
mouth_open,,00:02:57.906,177.906,00:03:00.846,180.846,00:00:02.940,2.94,
food_to_mouth,,00:02:58.182,178.182,00:03:00.938,180.938,00:00:02.756,2.756,spoon
speech,,00:03:11.409,191.41,00:03:16.405,196.405,00:00:04.995,4.995,
speech,,00:03:16.927,196.928,00:03:19.763,199.763,00:00:02.835,2.835,
other,,00:03:20.763,200.763,00:03:23.763,203.763,00:00:03.000,3.0,
speech,,00:03:26.968,206.969,00:03:30.530,210.53,00:00:03.561,3.561,
speech,,00:03:31.745,211.745,00:03:33.195,213.196,00:00:01.451,1.451,
other,,00:03:34.195,214.196,00:03:37.195,217.196,00:00:03.000,3.0,
mouth_open,,00:03:57.066,237.066,00:03:58.421,238.421,00:00:01.355,1.355,
food_to_mouth,,00:03:57.195,237.195,00:03:58.905,238.905,00:00:01.710,1.71,spoon
speech,,00:04:01.866,241.867,00:04:03.520,243.52,00:00:01.653,1.653,
speech,,00:04:03.806,243.807,00:04:05.478,245.478,00:00:01.671,1.671,
other,,00:04:06.478,246.478,00:04:07.907,247.908,00:00:01.429,1.43,
speech,,00:04:07.907,247.908,00:04:09.376,249.376,00:00:01.468,1.468,
speech,,00:04:09.628,249.629,00:04:12.413,252.413,00:00:02.783,2.784,
speech,,00:04:13.189,253.19,00:04:14.724,254.725,00:00:01.534,1.535,
other,,00:04:15.724,255.725,00:04:18.725,258.725,00:00:03.000,3.0,
speech,,00:04:25.963,265.964,00:04:28.461,268.462,00:00:02.498,2.498,
speech,,00:04:29.591,269.592,00:04:30.706,270.706,00:00:01.114,1.114,
speech,,00:04:31.161,271.162,00:04:33.067,273.068,00:00:01.905,1.906,
other,,00:04:34.067,274.068,00:04:35.362,275.363,00:00:01.294,1.295,
speech,,00:04:35.362,275.363,00:04:37.033,277.034,00:00:01.671,1.671,
speech,,00:04:38.536,278.536,00:04:43.480,283.48,00:00:04.944,4.944,
mouth_open,,00:04:44.316,284.316,00:04:46.347,286.347,00:00:02.031,2.031,
food_to_mouth,,00:04:44.470,284.47,00:04:46.013,286.013,00:00:01.543,1.543,spoon
mouth_open,,00:05:22.035,322.035,00:05:24.131,324.131,00:00:02.096,2.096,
food_to_mouth,,00:05:22.171,322.171,00:05:23.962,323.962,00:00:01.791,1.791,spoon
speech,,00:05:57.528,357.528,00:05:58.591,358.591,00:00:01.062,1.063,
speech,,00:05:59.754,359.755,00:06:08.209,368.21,00:00:08.455,8.455,
speech,,00:06:09.408,369.408,00:06:16.158,376.158,00:00:06.750,6.75,
other,,00:06:17.158,377.158,00:06:18.216,378.217,00:00:01.058,1.059,
speech,,00:06:18.216,378.217,00:06:20.865,380.866,00:00:02.649,2.649,
speech,,00:06:21.423,381.423,00:06:26.502,386.502,00:00:05.078,5.079,
other,,00:06:27.502,387.502,00:06:30.502,390.502,00:00:03.000,3.0,
speech,,00:06:41.976,401.977,00:06:44.726,404.727,00:00:02.750,2.75,
speech,,00:06:45.908,405.908,00:06:47.208,407.208,00:00:01.300,1.3,
speech,,00:06:47.512,407.512,00:06:50.026,410.026,00:00:02.513,2.514,
other,,00:06:51.026,411.026,00:06:52.540,412.54,00:00:01.514,1.514,
speech,,00:06:52.540,412.54,00:06:54.093,414.093,00:00:01.552,1.553,
speech,,00:06:55.391,415.392,00:06:57.367,417.367,00:00:01.975,1.975,
speech,,00:06:58.327,418.328,00:07:12.031,432.031,00:00:13.702,13.703,
speech,,00:07:12.266,432.267,00:07:16.502,436.503,00:00:04.235,4.236,
speech,,00:07:16.822,436.823,00:07:20.401,440.401,00:00:03.577,3.578,
speech,,00:07:20.754,440.755,00:07:25.024,445.025,00:00:04.269,4.27,
other,,00:07:26.024,446.025,00:07:29.024,449.025,00:00:03.000,3.0,
speech,,00:07:43.012,463.013,00:07:45.004,465.005,00:00:01.992,1.992,
speech,,00:07:45.814,465.815,00:07:47.502,467.502,00:00:01.687,1.687,
speech,,00:07:47.923,467.924,00:07:56.968,476.969,00:00:09.044,9.045,
speech,,00:07:57.425,477.425,00:08:01.762,481.762,00:00:04.336,4.337,
speech,,00:08:03.415,483.415,00:08:08.865,488.866,00:00:05.450,5.451,
speech,,00:08:09.507,489.507,00:08:14.435,494.435,00:00:04.927,4.928,
speech,,00:08:14.653,494.654,00:08:20.797,500.797,00:00:06.142,6.143,
speech,,00:08:20.898,500.898,00:08:23.345,503.345,00:00:02.447,2.447,
speech,,00:08:23.529,503.53,00:08:26.382,506.382,00:00:02.851,2.852,
speech,,00:08:28.254,508.255,00:08:30.095,510.095,00:00:01.840,1.84,
other,,00:08:31.095,511.095,00:08:34.095,514.095,00:00:03.000,3.0,
speech,,00:08:40.759,520.76,00:08:43.004,523.004,00:00:02.244,2.244,
speech,,00:08:43.054,523.055,00:08:52.318,532.319,00:00:09.263,9.264,
other,,00:08:53.318,533.319,00:08:54.412,534.412,00:00:01.092,1.093,
speech,,00:08:54.412,534.412,00:08:56.032,536.032,00:00:01.620,1.62,
other,,00:08:57.032,537.032,00:08:59.474,539.474,00:00:02.442,2.442,
speech,,00:08:59.474,539.474,00:09:00.654,540.655,00:00:01.181,1.181,
speech,,00:09:02.106,542.107,00:09:11.118,551.118,00:00:09.010,9.011,
other,,00:09:12.118,552.118,00:09:13.615,553.615,00:00:01.497,1.497,
speech,,00:09:13.615,553.615,00:09:14.914,554.915,00:00:01.300,1.3,
other,,00:09:15.914,555.915,00:09:17.243,557.243,00:00:01.328,1.328,
speech,,00:09:17.243,557.243,00:09:26.929,566.93,00:00:09.686,9.687,
