Event,Nan,Start_time,Start_seconds,End_time,End_seconds,Duration,Duration_seconds,Tools/Speaker
speech,,00:00:01.347,1.347,00:00:09.666,9.667,00:00:08.320,8.320,""
speech,,00:00:11.471,11.472,00:00:15.320,15.320,00:00:03.847,3.848,""
speech,,00:00:26.271,26.272,00:00:32.009,32.009,00:00:05.737,5.737,""
speech,,00:00:38.134,38.135,00:00:39.146,39.147,00:00:01.012,1.012,""
speech,,00:00:56.679,56.680,00:00:58.823,58.823,00:00:02.142,2.143,""
speech,,00:00:59.396,59.397,00:01:00.798,60.798,00:00:01.401,1.401,""
speech,,00:01:01.658,61.658,00:01:06.974,66.974,00:00:05.315,5.316,""
speech,,00:01:29.283,89.283,00:01:33.754,93.755,00:00:04.472,4.472,""
speech,,00:02:18.085,138.085,00:02:24.699,144.700,00:00:06.615,6.615,""
speech,,00:02:27.417,147.417,00:02:28.632,148.632,00:00:01.215,1.215,""
speech,,00:02:37.424,157.424,00:02:39.009,159.010,00:00:01.586,1.586,""
speech,,00:03:11.409,191.410,00:03:16.405,196.405,00:00:04.995,4.995,""
speech,,00:03:16.927,196.928,00:03:19.763,199.763,00:00:02.835,2.835,""
speech,,00:03:26.968,206.969,00:03:30.530,210.530,00:00:03.561,3.561,""
speech,,00:03:31.745,211.745,00:03:33.195,213.196,00:00:01.451,1.451,""
speech,,00:04:01.866,241.867,00:04:03.520,243.520,00:00:01.653,1.653,""
speech,,00:04:03.806,243.807,00:04:05.478,245.478,00:00:01.671,1.671,""
speech,,00:04:07.907,247.908,00:04:09.376,249.376,00:00:01.468,1.468,""
speech,,00:04:09.628,249.629,00:04:12.413,252.413,00:00:02.783,2.784,""
speech,,00:04:13.189,253.190,00:04:14.724,254.725,00:00:01.534,1.535,""
speech,,00:04:25.963,265.964,00:04:28.461,268.462,00:00:02.498,2.498,""
speech,,00:04:29.591,269.592,00:04:30.706,270.706,00:00:01.114,1.114,""
speech,,00:04:31.161,271.162,00:04:33.067,273.068,00:00:01.905,1.906,""
speech,,00:04:35.362,275.363,00:04:37.033,277.034,00:00:01.671,1.671,""
speech,,00:04:38.536,278.536,00:04:43.480,283.480,00:00:04.944,4.944,""
speech,,00:05:57.528,357.528,00:05:58.591,358.591,00:00:01.062,1.063,""
speech,,00:05:59.754,359.755,00:06:08.209,368.210,00:00:08.455,8.455,""
speech,,00:06:09.408,369.408,00:06:16.158,376.158,00:00:06.750,6.750,""
speech,,00:06:18.216,378.217,00:06:20.865,380.866,00:00:02.649,2.649,""
speech,,00:06:21.423,381.423,00:06:26.502,386.502,00:00:05.078,5.079,""
speech,,00:06:41.976,401.977,00:06:44.726,404.727,00:00:02.750,2.750,""
speech,,00:06:45.908,405.908,00:06:47.208,407.208,00:00:01.300,1.300,""
speech,,00:06:47.512,407.512,00:06:50.026,410.026,00:00:02.513,2.514,""
speech,,00:06:52.540,412.540,00:06:54.093,414.093,00:00:01.552,1.553,""
speech,,00:06:55.391,415.392,00:06:57.367,417.367,00:00:01.975,1.975,""
speech,,00:06:58.327,418.328,00:07:12.031,432.031,00:00:13.702,13.703,""
speech,,00:07:12.266,432.267,00:07:16.502,436.503,00:00:04.235,4.236,""
speech,,00:07:16.822,436.823,00:07:20.401,440.401,00:00:03.577,3.578,""
speech,,00:07:20.754,440.755,00:07:25.024,445.025,00:00:04.269,4.270,""
